MODEL	FORMAT	CATEGORY	LS_RV	COUNT	ACCURACY_MEAN
ALL	4_uniform	ALL	LS	140	0.614286
ALL	4_uniform	ALL	RV	140	0.603571
ALL	4_uniform	Co	LS	35	0.471429
ALL	4_uniform	Co	RV	35	0.528571
ALL	4_uniform	E&D	LS	35	0.485714
ALL	4_uniform	E&D	RV	35	0.457143
ALL	4_uniform	IR	LS	35	0.785714
ALL	4_uniform	IR	RV	35	0.785714
ALL	4_uniform	TA	LS	35	0.714286
ALL	4_uniform	TA	RV	35	0.642857
ALL	ALL	ALL	LS	1120	0.595536
ALL	ALL	ALL	RV	1120	0.580357
ALL	ALL	Co	LS	280	0.437500
ALL	ALL	Co	RV	280	0.432143
ALL	ALL	E&D	LS	280	0.471429
ALL	ALL	E&D	RV	280	0.480357
ALL	ALL	IR	LS	280	0.773214
ALL	ALL	IR	RV	280	0.739286
ALL	ALL	TA	LS	280	0.700000
ALL	ALL	TA	RV	280	0.669643
ALL	CSV	ALL	LS	140	0.542857
ALL	CSV	ALL	RV	140	0.514286
ALL	CSV	Co	LS	35	0.414286
ALL	CSV	Co	RV	35	0.342857
ALL	CSV	E&D	LS	35	0.428571
ALL	CSV	E&D	RV	35	0.428571
ALL	CSV	IR	LS	35	0.714286
ALL	CSV	IR	RV	35	0.685714
ALL	CSV	TA	LS	35	0.614286
ALL	CSV	TA	RV	35	0.600000
ALL	KG	ALL	LS	140	0.582143
ALL	KG	ALL	RV	140	0.607143
ALL	KG	Co	LS	35	0.457143
ALL	KG	Co	RV	35	0.400000
ALL	KG	E&D	LS	35	0.371429
ALL	KG	E&D	RV	35	0.371429
ALL	KG	IR	LS	35	0.700000
ALL	KG	IR	RV	35	0.857143
ALL	KG	TA	LS	35	0.800000
ALL	KG	TA	RV	35	0.800000
ALL	kg_labeled	ALL	LS	140	0.607143
ALL	kg_labeled	ALL	RV	140	0.600000
ALL	kg_labeled	Co	LS	35	0.428571
ALL	kg_labeled	Co	RV	35	0.457143
ALL	kg_labeled	E&D	LS	35	0.457143
ALL	kg_labeled	E&D	RV	35	0.571429
ALL	kg_labeled	IR	LS	35	0.857143
ALL	kg_labeled	IR	RV	35	0.742857
ALL	kg_labeled	TA	LS	35	0.685714
ALL	kg_labeled	TA	RV	35	0.628571
ALL	metric_labeled	ALL	LS	140	0.607143
ALL	metric_labeled	ALL	RV	140	0.607143
ALL	metric_labeled	Co	LS	35	0.457143
ALL	metric_labeled	Co	RV	35	0.500000
ALL	metric_labeled	E&D	LS	35	0.442857
ALL	metric_labeled	E&D	RV	35	0.471429
ALL	metric_labeled	IR	LS	35	0.800000
ALL	metric_labeled	IR	RV	35	0.742857
ALL	metric_labeled	TA	LS	35	0.728571
ALL	metric_labeled	TA	RV	35	0.714286
ALL	time_labeled	ALL	LS	140	0.589286
ALL	time_labeled	ALL	RV	140	0.575000
ALL	time_labeled	Co	LS	35	0.414286
ALL	time_labeled	Co	RV	35	0.400000
ALL	time_labeled	E&D	LS	35	0.457143
ALL	time_labeled	E&D	RV	35	0.514286
ALL	time_labeled	IR	LS	35	0.814286
ALL	time_labeled	IR	RV	35	0.714286
ALL	time_labeled	TA	LS	35	0.671429
ALL	time_labeled	TA	RV	35	0.671429
ALL	unstructured	ALL	LS	140	0.607143
ALL	unstructured	ALL	RV	140	0.557143
ALL	unstructured	Co	LS	35	0.442857
ALL	unstructured	Co	RV	35	0.400000
ALL	unstructured	E&D	LS	35	0.600000
ALL	unstructured	E&D	RV	35	0.542857
ALL	unstructured	IR	LS	35	0.742857
ALL	unstructured	IR	RV	35	0.628571
ALL	unstructured	TA	LS	35	0.642857
ALL	unstructured	TA	RV	35	0.657143
ALL	value_labeled	ALL	LS	140	0.614286
ALL	value_labeled	ALL	RV	140	0.578571
ALL	value_labeled	Co	LS	35	0.414286
ALL	value_labeled	Co	RV	35	0.428571
ALL	value_labeled	E&D	LS	35	0.528571
ALL	value_labeled	E&D	RV	35	0.485714
ALL	value_labeled	IR	LS	35	0.771429
ALL	value_labeled	IR	RV	35	0.757143
ALL	value_labeled	TA	LS	35	0.742857
ALL	value_labeled	TA	RV	35	0.642857
command-R	4_uniform	ALL	LS	20	0.450000
command-R	4_uniform	ALL	RV	20	0.425000
command-R	4_uniform	Co	LS	5	0.400000
command-R	4_uniform	Co	RV	5	0.400000
command-R	4_uniform	E&D	LS	5	0.600000
command-R	4_uniform	E&D	RV	5	0.300000
command-R	4_uniform	IR	LS	5	0.400000
command-R	4_uniform	IR	RV	5	0.600000
command-R	4_uniform	TA	LS	5	0.400000
command-R	4_uniform	TA	RV	5	0.400000
command-R	ALL	ALL	LS	160	0.321875
command-R	ALL	ALL	RV	160	0.350000
command-R	ALL	Co	LS	40	0.112500
command-R	ALL	Co	RV	40	0.212500
command-R	ALL	E&D	LS	40	0.375000
command-R	ALL	E&D	RV	40	0.375000
command-R	ALL	IR	LS	40	0.487500
command-R	ALL	IR	RV	40	0.487500
command-R	ALL	TA	LS	40	0.312500
command-R	ALL	TA	RV	40	0.325000
command-R	CSV	ALL	LS	20	0.300000
command-R	CSV	ALL	RV	20	0.300000
command-R	CSV	Co	LS	5	0.000000
command-R	CSV	Co	RV	5	0.000000
command-R	CSV	E&D	LS	5	0.400000
command-R	CSV	E&D	RV	5	0.400000
command-R	CSV	IR	LS	5	0.400000
command-R	CSV	IR	RV	5	0.400000
command-R	CSV	TA	LS	5	0.400000
command-R	CSV	TA	RV	5	0.400000
command-R	KG	ALL	LS	20	0.275000
command-R	KG	ALL	RV	20	0.450000
command-R	KG	Co	LS	5	0.200000
command-R	KG	Co	RV	5	0.200000
command-R	KG	E&D	LS	5	0.300000
command-R	KG	E&D	RV	5	0.400000
command-R	KG	IR	LS	5	0.400000
command-R	KG	IR	RV	5	0.800000
command-R	KG	TA	LS	5	0.200000
command-R	KG	TA	RV	5	0.400000
