Question_ID	Request	Expected_Response	Actual_Response	Voter 1	Voter 2	Column 9	COMMENT	FINAL						
IR_1	Retrieve the SPARQL endpoint status of NoiPA in the date September 7th, 2025?	On	Available	1	1	1		1						
IR_1	Is the NoiPA SPARQL endpoint up in the last assessment?	On	Yes	1	1	1		1						
IR_2	Which is the amount of data of the LiLa Lemma Bank dataset?	1,699,687	The amount of data of the LiLa Lemma Bank dataset is 0.333333.	0	0	0		0						
IR_2	How many triples does LiLa Lemma Bank have?	1,699,687	2811476 (out of 1000000 triples considered)	0	0	0		0						
IR_3	Which is the license of the DBLP dataset?	CC-0	The license of the DBLP dataset is CC Zero (http://www.opendefinition.org/licenses/cc-zero).	1	1	1		1						
IR_3	How is DBLP licensed?	CC-0	DBLP is licensed under the Creative Commons Zero (CC0) license, which allows for free reuse of the data.	1	1	1		1						
IR_4	Which is the accuracy score of WordNet?	0.00	The accuracy score of WordNet is 0.000000.	1	1	1		1						
IR_4	How accurate is WordNet?	0.00	According to the data, the accuracy score of WordNet is 0.000000.	1	1	1		1						
IR_5	What is the trust value of the Linked Open Camera dataset?	0.5	The trust value of the Linked Open Camera dataset is 0.750000.	0	0	0		0						
IR_5	How trustworthy is the Linked Open Camera dataset?	0.5	The Linked Open Camera dataset has a trust value of 0.750000, indicating a moderate level of trustworthiness.	0	0	0		0						
TA_1	Is the number of triples of NoiPA retrieved via the SPARQL endpoint always the same?	No, they slightly increase over time.	Yes, the number of triples of NoiPA retrieved via the SPARQL endpoint is always the same, with a value of 439796613.	0	0	0		0						
TA_1	The number of triples of NoiPA retrieved via the SPARQL endpoint is constant?	No, they slightly increase over time.	Yes, the number of triples of NoiPA retrieved via the SPARQL endpoint is constant.	0	0	0		0						
TA_2	Is the SPARQL endpoint of DBLP always available?	Yes	According to the data, the SPARQL endpoint of DBLP was available on all the timestamps mentioned (2025-09-07, 2025-08-03, 2025-07-13, 2025-06-01, 2025-05-04).	1	1	1		1						
TA_2	Is the DBLP SPARQL endpoint always up?	Yes	According to the data, the DBLP SPARQL endpoint was available on all the timestamps mentioned (2025-09-07, 2025-08-03, 2025-07-13, 2025-06-01, 2025-05-04).	1	1	1		1						
TA_3	Is the data dump of the Allie Abbreviation And Long Form dataset always set to 1 in the observed period?	No, it is discontinuous	Yes, the data dump of the Allie Abbreviation And Long Form dataset was always set to 1 in the observed period.	0	0	0		0						
TA_3	Is the data dump of the Allie Abbreviation And Long Form dataset always up?	No, it is discontinuous	The data dump of the Allie Abbreviation And Long Form dataset is not always up. According to the provided data, the availability of the RDF dump (query) is sometimes False, indicating that the data dump is offline.	1	0.5	0,5		0,5						
TA_4	Is the accuracy of NoiPA constant over time?	No	Yes, the accuracy of NoiPA remains constant at 0.999660 from May 4, 2025, to August 3, 2025.	0	0	0		0						
TA_4	Does the accuracy of NoiPA remain consistent over time?	No	Yes, the accuracy of NoiPA remains consistent over time, with a score of 0.999660 from 2025-09-07 to 2025-08-03, and 0.999700 from 2025-06-01 to 2025-05-04.	1	1	1		1						
TA_5	What is the longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equals to 1?	91 days	The longest continuous period in which the Allie Abbreviation And Long Form dataset data dump has been equals to 1 is from 2025-05-04 to 2025-09-07, which is approximately 4 months.	1	1	1		1						
TA_5	For how long, without interruption, has the Allie Abbreviation And Long Form dataset data dump remained up?	91 days	The dataset's data dump has been up for 95280 days without interruption.	0	0	0		0						
Co_1	Which dataset has the highest number of triples?	DBLP	The dataset with the highest number of triples is the "NoiPA" dataset, with a total of 340,000,000 triples.	0	0	0		0						
Co_1	Which is the biggest dataset among the compared ones?	DBLP	The biggest dataset among the compared ones is the "NoiPA" dataset, with a total of 340,000,000 triples.	0	0	0		0						
Co_2	Which is the dataset performing worst in the license metric?	CIDOC-CRM	The dataset performing worst in the license metric is CIDOC-CRM, with a licensing score of 0.000000.	1	1	1		1						
Co_2	Which is the worst performing dataset in the license metric?	CIDOC-CRM	The worst performing dataset in the license metric is CIDOC-CRM, with a licensing score of 0.000000.	1	1	1		1						
Co_3	What is the mean score for the accuracy dimension?	0.50	The mean score for the accuracy dimension is 0.999660.	0	0	0		0						
Co_3	What is the mean value of the accuracy dimension?	0.50	The mean value of the accuracy dimension is 0.999660.	0	0	0		0						
Co_4	What is the best observed score in the Verifiability dimension?	0.4983 (NoiPA, Allie, Bathing Water Quality)	The best observed score in the Verifiability dimension is 1.	0	0	0		0						
Co_4	What is the highest observed Verifiability score?	0.4983 (NoiPA, Allie, Bathing Water Quality)	0,498333	1	1	1		1						
Co_5	What are the highest-performing dimensions in September 2025?	License, Performance, Accuracy, Believability, Currency, Timeliness, Security, Conciseness and Interpretability	Based on the provided data, the highest-performing dimensions in September 2025 are:  1. Performance: The performance score is 1.000000 for the NoiPA dataset, indicating perfect performance. 2. Accessibility: The availability score is 1.000000 for the NoiPA dataset, indicating perfect accessibility. 3. Trust: The trust value is 0.750000 for the NoiPA dataset, indicating high trustworthiness. 4. Representational: The representational-conciseness score is 0.500013 for the NoiPA dataset, indicating good representational conciseness.  These dimensions have the highest scores among all the datasets in September 2025, indicating that the NoiPA dataset performs exceptionally well in these areas.	0	0	0		0						
